datetime,date,open,high,low,close,volume,amount,symbol,interval,provider,adjust,market
2025-05-20 00:00:00,2025-05-20,3371.689,3387.804,3369.963,3380.478,40554453400,137093437520725.2,sh000001,1d,akshare,,CN
2025-05-21 00:00:00,2025-05-21,3380.209,3394.754,3380.209,3387.574,41249616500,139736128365371.0,sh000001,1d,akshare,,CN
2025-05-22 00:00:00,2025-05-22,3381.865,3390.593,3376.233,3380.189,39421720600,133252866333193.39,sh000001,1d,akshare,,CN
2025-05-23 00:00:00,2025-05-23,3376.869,3389.469,3348.372,3348.372,40022700400,134010889383748.8,sh000001,1d,akshare,,CN
2025-05-26 00:00:00,2025-05-26,3346.561,3362.307,3336.355,3346.839,34756210100,116323439454873.89,sh000001,1d,akshare,,CN
2025-05-27 00:00:00,2025-05-27,3346.503,3351.572,3332.49,3340.687,34407115700,114943404126485.89,sh000001,1d,akshare,,CN
2025-05-28 00:00:00,2025-05-28,3341.852,3348.234,3336.727,3339.932,34155544300,114077195384987.6,sh000001,1d,akshare,,CN
2025-05-29 00:00:00,2025-05-29,3340.401,3368.633,3337.415,3363.446,39323380600,132262067185547.6,sh000001,1d,akshare,,CN
2025-05-30 00:00:00,2025-05-30,3358.809,3361.275,3341.648,3347.487,38560217000,129079825124679.0,sh000001,1d,akshare,,CN
2025-06-03 00:00:00,2025-06-03,3340.067,3366.997,3340.067,3361.976,39806077200,133827076200547.2,sh000001,1d,akshare,,CN
2025-06-04 00:00:00,2025-06-04,3363.391,3379.64,3363.391,3376.203,38649464300,130488437318052.9,sh000001,1d,akshare,,CN
2025-06-05 00:00:00,2025-06-05,3378.217,3387.765,3371.146,3384.099,40625209300,137479730166920.7,sh000001,1d,akshare,,CN
2025-06-06 00:00:00,2025-06-06,3384.295,3391.451,3379.764,3385.358,38012288600,128685205310318.81,sh000001,1d,akshare,,CN
2025-06-09 00:00:00,2025-06-09,3388.778,3402.05,3383.074,3399.772,42734794700,145288558446808.4,sh000001,1d,akshare,,CN
2025-06-10 00:00:00,2025-06-10,3402.013,3406.452,3365.667,3384.816,48161856800,163019023486348.78,sh000001,1d,akshare,,CN
2025-06-11 00:00:00,2025-06-11,3385.457,3413.513,3385.457,3402.316,42409031300,144288925736490.78,sh000001,1d,akshare,,CN
2025-06-12 00:00:00,2025-06-12,3397.972,3408.205,3388.866,3402.658,40949061000,139335650004138.0,sh000001,1d,akshare,,CN
2025-06-13 00:00:00,2025-06-13,3397.484,3401.553,3370.592,3376.996,51006522100,172248821105611.6,sh000001,1d,akshare,,CN
